ID,Quality,HR
113026,0,71
113027,0,76
113028,0,71
113029,0,73
113030,0,68
113031,0,78
113032,0,69
113033,0,72
113034,0,70
113035,0,71
113036,0,71
113037,0,71
113038,0,72
113039,0,71
113040,0,69
113041,0,70
113042,0,69
113043,0,71
113044,0,70
113045,0,70
113046,0,69
113047,0,69
113048,0,70
113049,0,67
113050,0,72
113051,0,71
113052,0,72
113053,0,71
113054,0,71
114001,0,80
114002,1,75
114003,0,75
114004,0,74
114005,0,71
114006,1,73
114007,0,74
114008,0,75
114009,0,70
114010,0,71
114011,0,74
114012,0,74
114013,0,76
114014,0,76
114015,0,72
114016,0,74
114017,0,75
114018,0,74
114019,0,72
114020,0,76
114021,0,79
114022,0,78
114023,0,94
114024,0,88
114025,0,81
114026,0,78
114027,0,91
114028,0,85
114029,0,77
114030,0,73
114031,0,82
114032,0,75
114033,0,72
114034,0,73
114035,0,75
114036,0,75
114037,0,76
114038,0,75
114039,0,78
114040,0,76
114041,0,74
114042,0,79
114043,0,77
114044,0,77
114045,0,77
114046,0,74
114047,1,74
114048,0,78
114049,0,77
114050,0,76
114051,1,76
114052,0,76
114053,0,76
114054,0,77
114055,0,86
114056,0,81
114057,0,77
114058,0,78
114059,0,76
114060,0,75
114061,0,76
114062,0,72
114063,0,74
114064,0,75
114065,0,75
114066,0,74
114067,0,75
114068,0,77
114069,0,74
114070,0,77
114071,0,73
114072,1,74
114073,0,70
114074,0,72
114075,0,81
114076,0,80
114077,0,86
114078,0,94
114079,0,85
114080,0,76
114081,0,78
114082,0,81
114083,1,77
114084,1,73
114085,0,79
114086,0,77
114087,0,78
114088,0,74
114089,0,76
114090,0,78
114091,0,76
114092,0,78
114093,0,78
114094,0,81
114095,0,77
114096,0,79
114097,0,83
114098,0,79
114099,0,74
114100,0,73
114101,0,74
114102,1,75
114103,0,76
114104,1,76
114105,0,77
114106,0,77
114107,0,78
114108,0,78
115001,0,69
115002,0,66
115003,0,63
115004,0,54
115005,0,65
115006,0,71
115007,0,65
115008,0,67
115009,0,66
115010,0,62
115011,0,60
115012,0,58
115013,0,51
115014,0,62
115015,0,55
115016,0,57
115017,0,53
115018,0,54
115019,0,56
115020,0,61
115021,0,57
115022,0,51
115023,0,64
115024,0,72
115025,0,89
115026,0,72
115027,0,72
115028,0,58
115029,0,69
115030,0,59
115031,0,58
115032,0,63
115033,0,66
115034,0,59
115035,0,57
115036,0,57
115037,0,56
115038,0,53
115039,0,53
115040,0,60
115041,0,60
115042,0,65
115043,0,62
115044,0,62
115045,0,55
115046,0,66
115047,0,61
115048,0,55
115049,0,59
115050,0,58
115051,0,59
115052,0,61
115053,0,66
115054,0,67
115055,0,68
115056,0,65
115057,0,71
115058,0,58
115059,0,55
115060,0,48
115061,0,58
115062,0,60
115063,0,60
115064,0,55
115065,0,56
115066,0,45
115067,0,61
115068,0,61
115069,0,54
115070,0,51
115071,1,56
115072,1,63
115073,0,52
115074,0,56
115075,1,58
115076,0,72
115077,0,75
115078,1,63
115079,1,60
115080,1,63
115081,1,61
115082,0,57
115083,1,62
115084,0,53
115085,0,57
115086,1,64
115087,1,64
115088,1,62
115089,0,75
115090,1,60
115091,0,53
115092,1,60
115093,0,56
115094,0,61
115095,0,55
115096,0,63
115097,0,58
115098,0,58
115099,0,56
115100,0,58
115101,0,54
115102,0,53
115103,0,51
115104,0,53
115105,0,60
115106,0,64
115107,1,57
115108,0,59
116001,0,82
116002,0,78
116003,0,80
116004,0,77
116005,0,72
116006,0,69
116007,0,68
116008,0,73
116009,0,73
116010,0,71
116011,0,71
116012,0,70
116013,0,72
116014,0,72
116015,0,74
116016,0,73
116017,0,78
116018,0,71
116019,1,71
116020,0,74
116021,0,74
116022,0,74
116023,0,99
116024,0,80
116025,0,94
116026,0,84
116027,0,85
116028,0,89
116029,0,71
116030,0,71
116031,0,81
116032,0,71
116033,0,76
116034,0,75
116035,0,75
116036,0,71
116037,0,79
116038,0,76
116039,0,75
116040,0,73
116041,0,80
116042,0,70
116043,0,71
116044,0,71
116045,0,71
116046,0,74
116047,0,74
116048,0,76
116049,0,75
116050,0,74
116051,0,74
116052,0,76
116053,0,74
116054,0,70
116055,0,79
116056,0,78
116057,0,73
116058,0,69
116059,0,71
116060,0,73
116061,0,71
116062,0,75
116063,0,75
116064,0,78
116065,0,75
116066,0,72
116067,0,76
116068,0,73
116069,0,73
116070,0,68
116071,0,72
116072,0,70
116073,0,78
116074,0,91
116075,0,78
116076,0,76
116077,0,92
116078,0,80
116079,0,92
116080,0,86
116081,0,87
116082,0,78
116083,0,81
116084,0,78
116085,0,79
116086,0,81
116087,0,80
116088,0,77
116089,0,73
116090,0,68
116091,0,77
116092,0,85
116093,0,74
116094,0,72
116095,0,73
116096,0,76
116097,0,71
116098,0,72
116099,0,72
116100,0,71
116101,0,73
116102,0,72
116103,0,73
116104,0,77
116105,0,74
116106,0,74
116107,0,80
116108,0,78
117001,0,82
117002,0,75
117003,0,77
117004,0,80
117005,0,78
117006,0,80
117007,0,78
117008,0,77
117009,0,78
117010,0,81
117011,0,82
117012,0,77
117013,0,80
117014,0,81
117015,0,80
117016,0,84
117017,0,85
117018,0,81
117019,0,74
117020,0,75
117021,0,83
117022,0,82
117023,0,95
117024,0,85
117025,0,95
117026,0,84
117027,0,95
117028,0,82
117029,0,81
117030,0,80
117031,0,77
117032,0,82
117033,0,81
117034,0,78
117035,0,88
117036,0,82
117037,0,77
117038,0,81
117039,0,91
117040,0,82
117041,0,86
117042,0,77
117043,0,82
117044,0,77
117045,1,80
117046,0,74
117047,0,75
117048,0,84
117049,0,81
117050,0,79
117051,0,83
117052,0,80
117053,0,81
117054,0,82
117055,0,88
117056,0,88
117057,0,83
117058,0,83
117059,0,76
117060,0,80
117061,0,84
117062,0,81
117063,0,79
117064,0,80
117065,0,79
117066,0,88
117067,0,85
117068,0,77
117069,0,73
117070,0,76
117071,0,79
117072,0,86
117073,0,90
117074,0,78
117075,0,77
117076,0,80
117077,0,80
117078,0,83
117079,0,99
117080,0,75
117081,0,82
117082,0,83
117083,0,81
117084,0,74
117085,0,74
117086,0,74
117087,0,80
117088,1,77
117089,0,78
117090,0,82
117091,0,83
117092,0,78
117093,0,84
117094,0,87
117095,0,78
117096,0,84
117097,0,79
117098,0,86
117099,0,80
117100,0,76
117101,0,83
117102,0,84
117103,0,84
117104,0,84
117105,1,83
117106,0,83
117107,0,87
117108,0,79
118001,0,77
118002,0,72
118003,0,76
118004,0,78
118005,0,73
118006,0,75
118007,0,77
118008,0,73
118009,0,76
118010,0,77
118011,0,76
118012,0,78
118013,0,78
118014,0,77
118015,0,75
118016,0,74
118017,0,77
118018,0,78
118019,1,76
118020,0,79
118021,0,81
118022,1,80
118023,0,84
118024,0,90
118025,0,82
118026,0,75
118027,0,79
118028,0,77
118029,0,72
118030,0,77
118031,0,76
118032,0,76
118033,0,79
118034,1,74
118035,0,76
118036,0,74
118037,0,76
118038,0,78
118039,0,79
118040,0,76
118041,0,76
118042,0,78
118043,0,75
118044,0,80
118045,0,79
118046,0,80
118047,0,81
118048,0,76
118049,0,81
118050,0,79
118051,0,74
118052,1,80
118053,1,78
118054,0,78
119001,0,81
119002,0,74
119003,0,71
119004,0,83
119005,1,76
119006,0,72
119007,0,69
119008,0,71
119009,0,71
119010,0,77
119011,0,71
119012,1,69
119013,1,71
119014,1,73
119015,1,76
119016,0,73
119017,0,76
119018,0,74
119019,0,72
119020,0,72
119021,0,73
119022,1,73
119023,0,99
119024,0,97
119025,0,77
119026,0,80
119027,0,86
119028,0,100
119029,0,80
119030,0,111
119031,0,120
119032,0,90
119033,0,80
119034,1,64
119035,0,68
119036,0,74
119037,0,67
119038,0,67
119039,0,74
119040,0,74
119041,0,85
119042,0,71
119043,0,74
119044,0,67
119045,0,69
119046,0,69
119047,0,69
119048,0,68
119049,0,69
119050,0,69
119051,0,70
119052,1,67
119053,0,69
119054,1,72
119055,0,74
119056,0,72
119057,0,71
119058,0,72
119059,0,68
119060,0,70
119061,0,73
119062,0,70
119063,0,71
119064,0,73
119065,0,85
119066,0,105
119067,0,79
119068,0,70
119069,0,65
119070,0,71
119071,0,74
119072,0,62
119073,0,64
119074,0,69
119075,0,81
119076,0,68
119077,0,67
119078,0,68
119079,0,68
119080,0,76
119081,0,67
119082,0,69
119083,0,88
119084,0,80
119085,0,82
119086,0,73
119087,0,82
119088,1,71
119089,0,69
119090,0,68
119091,0,69
119092,0,70
119093,0,69
119094,0,70
119095,0,69
119096,0,70
120001,0,93
120002,0,89
120003,0,89
120004,0,88
120005,0,89
120006,0,83
120007,0,85
120008,0,82
120009,1,78
120010,0,79
120011,0,88
120012,0,87
120013,0,81
120014,0,85
120015,0,83
120016,1,82
120017,0,77
120018,1,79
120019,0,81
120020,0,81
120021,1,81
120022,1,79
120023,0,86
120024,0,93
120025,0,81
120026,1,79
120027,0,81
120028,0,87
120029,0,79
120030,0,83
120031,0,86
120032,0,87
120033,0,81
120034,0,77
120035,0,76
120036,0,77
120037,0,78
120038,0,79
120039,0,81
120040,0,85
120041,0,80
120042,0,79
120043,1,75
120044,0,78
120045,1,78
120046,1,76
120047,1,78
120048,0,71
120049,1,77
120050,0,76
120051,0,78
120052,0,75
120053,0,78
120054,0,80
121001,0,76
121002,0,71
121003,0,70
121004,0,62
121005,0,63
121006,0,64
121007,0,64
121008,0,69
121009,0,65
121010,0,65
121011,0,63
121012,0,64
121013,0,65
121014,0,72
121015,0,71
121016,0,69
121017,0,68
121018,0,66
121019,0,66
121020,0,67
121021,0,66
121022,0,73
121023,0,85
121024,0,83
121025,0,79
121026,0,75
121027,0,84
121028,0,67
121029,0,63
121030,0,67
121031,0,70
121032,0,69
121033,0,63
121034,0,70
121035,0,69
121036,0,70
121037,0,68
121038,0,67
121039,0,65
121040,1,64
121041,0,73
121042,0,76
121043,0,72
121044,0,66
121045,0,65
121046,0,66
121047,0,66
121048,0,71
121049,0,68
121050,0,71
121051,0,72
121052,0,68
121053,0,69
121054,0,68
121055,0,67
121056,0,70
121057,0,75
121058,0,75
121059,0,77
121060,0,69
121061,0,73
121062,0,74
121063,0,76
121064,0,72
121065,0,85
121066,0,87
121067,0,83
121068,0,78
121069,0,87
121070,0,77
121071,0,65
121072,0,71
121073,0,78
121074,0,81
121075,0,68
121076,0,66
121077,0,71
121078,0,69
121079,0,68
121080,0,71
121081,0,72
121082,0,68
121083,0,71
121084,0,73
121085,0,71
121086,0,69
121087,0,66
121088,0,65
121089,0,66
121090,0,69
121091,0,68
121092,0,67
121093,0,68
121094,0,67
121095,0,69
121096,0,71
122001,0,76
122002,0,74
122003,0,73
122004,0,72
122005,0,72
122006,0,72
122007,0,72
122008,0,73
122009,0,74
122010,0,73
122011,0,74
122012,0,73
122013,0,72
122014,1,73
122015,0,75
122016,0,72
122017,0,73
122018,0,74
122019,0,73
122020,0,73
122021,0,74
122022,0,75
122023,0,80
122024,0,80
122025,0,76
122026,0,77
122027,0,80
122028,0,83
122029,0,75
122030,0,76
122031,0,78
122032,0,83
122033,0,76
122034,0,74
122035,0,74
122036,0,72
122037,0,72
122038,0,72
122039,1,73
122040,0,76
122041,0,77
122042,0,82
122043,0,81
122044,0,75
122045,1,75
122046,0,75
122047,0,75
122048,1,75
122049,0,76
122050,0,75
122051,0,75
122052,0,75
122053,0,74
122054,0,75
122055,0,77
122056,0,75
122057,0,75
122058,0,74
122059,0,74
122060,0,72
122061,0,73
122062,0,73
122063,0,73
122064,0,73
122065,0,74
122066,0,73
122067,1,75
122068,0,75
122069,0,74
122070,0,75
122071,0,74
122072,0,74
122073,0,74
122074,0,75
122075,0,75
122076,0,74
122077,0,76
122078,0,83
122079,0,82
122080,0,83
122081,0,78
122082,0,83
122083,0,83
122084,0,78
122085,0,77
122086,0,82
122087,0,83
122088,0,78
122089,0,75
122090,0,74
122091,0,75
122092,0,73
122093,0,75
122094,0,76
122095,0,79
122096,0,80
122097,0,80
122098,0,76
122099,0,74
122100,0,74
122101,0,75
122102,0,75
122103,0,74
122104,0,75
122105,0,74
122106,0,73
122107,0,74
122108,0,75
123001,0,76
123002,0,62
123003,1,59
123004,0,60
123005,0,62
123006,0,62
123007,0,63
123008,0,62
123009,0,63
123010,0,64
123011,0,64
123012,0,65
123013,0,63
123014,0,64
123015,0,65
123016,0,65
123017,0,65
123018,0,67
123019,0,66
123020,0,64
123021,0,65
123022,0,67
123023,0,67
123024,0,80
123025,0,70
123026,0,68
123027,0,67
123028,0,78
123029,0,68
123030,0,64
123031,0,66
123032,0,77
123033,0,76
123034,0,65
123035,0,64
123036,0,63
123037,0,64
123038,0,64
123039,0,65
123040,0,67
123041,0,66
123042,0,67
123043,0,64
123044,0,63
123045,0,63
123046,0,62
123047,0,63
123048,0,64
123049,0,67
123050,1,65
123051,1,63
123052,0,64
123053,1,64
123054,0,61
123055,0,67
123056,0,63
123057,0,62
123058,0,65
123059,1,65
123060,0,68
123061,1,66
123062,0,64
123063,0,64
123064,1,66
123065,1,64
123066,1,63
123067,0,64
123068,0,65
123069,0,64
123070,1,64
123071,0,63
123072,0,65
123073,0,66
123074,0,70
123075,0,68
123076,0,65
123077,0,66
123078,0,75
123079,0,68
123080,0,65
123081,0,64
123082,0,76
123083,0,75
123084,0,66
123085,0,61
123086,0,74
123087,0,75
123088,0,66
123089,0,60
123090,0,60
123091,0,63
123092,0,63
123093,0,63
123094,1,65
123095,0,62
123096,0,63
123097,0,62
123098,0,63
123099,0,61
123100,0,60
123101,0,62
123102,0,63
123103,0,62
123104,0,62
123105,0,62
123106,0,62
123107,0,63
123108,0,63
124001,1,75
124002,1,71
124003,0,70
124004,1,65
124005,1,65
124006,1,64
124007,0,69
124008,0,68
124009,0,72
124010,1,72
124011,0,71
124012,0,72
124013,0,71
124014,0,76
124015,0,78
124016,0,76
124017,0,76
124018,0,81
124019,0,74
124020,0,69
124021,0,69
124022,0,75
124023,0,85
124024,0,97
124025,0,98
124026,0,98
124027,0,82
124028,0,96
124029,0,86
124030,0,78
124031,0,80
124032,0,111
124033,0,100
124034,0,79
124035,0,70
124036,0,63
124037,0,66
124038,0,67
124039,0,66
124040,0,81
124041,0,77
124042,0,77
124043,1,67
124044,0,66
124045,0,65
124046,1,65
124047,0,68
124048,0,72
124049,0,72
124050,0,70
124051,0,72
124052,0,75
124053,0,74
124054,0,76
124055,0,72
124056,0,65
124057,0,63
124058,0,63
124059,0,67
124060,0,64
124061,0,65
124062,0,66
124063,0,67
124064,0,68
124065,0,70
124066,0,71
124067,0,72
124068,0,74
124069,0,71
124070,0,68
124071,0,69
124072,0,71
124073,0,71
124074,0,67
124075,0,66
124076,0,72
124077,0,85
124078,0,102
124079,0,84
124080,0,70
124081,0,69
124082,0,88
124083,0,82
124084,0,69
124085,0,70
124086,0,86
124087,0,91
124088,0,72
124089,0,65
124090,0,69
124091,0,67
124092,0,74
124093,0,76
124094,1,71
124095,0,78
124096,0,79
124097,0,72
124098,0,73
124099,1,70
124100,1,70
124101,1,72
124102,0,70
124103,0,73
124104,0,71
124105,0,70
124106,1,68
124107,0,69
124108,0,69
125001,0,74
125002,0,71
125003,0,66
125004,1,75
125005,1,66
125006,1,64
125007,1,63
125008,0,63
125009,1,63
125010,1,60
125011,1,61
125012,0,64
125013,1,64
125014,1,62
125015,0,65
125016,1,67
125017,1,66
125018,0,66
125019,0,66
125020,0,68
125021,0,70
125022,0,67
125023,0,68
125024,0,81
125025,0,82
125026,1,83
125027,0,76
125028,0,87
125029,0,90
125030,0,83
125031,0,77
125032,0,86
125033,0,89
125034,0,77
125035,1,74
125036,0,71
125037,0,68
125038,0,67
125039,0,69
125040,0,67
125041,0,70
125042,0,77
125043,1,78
125044,1,68
125045,1,65
125046,1,67
125047,1,64
125048,0,67
125049,1,63
125050,1,63
125051,1,63
125052,1,66
125053,1,65
125054,1,66
125055,0,71
125056,0,65
125057,0,66
125058,0,65
125059,0,65
125060,1,64
125061,1,65
125062,0,67
125063,1,65
125064,1,63
125065,0,64
125066,0,65
125067,1,63
125068,0,63
125069,0,65
125070,0,69
125071,0,67
125072,0,66
125073,0,66
125074,0,69
125075,0,71
125076,0,67
125077,0,67
125078,0,83
125079,0,84
125080,1,80
125081,0,75
125082,0,86
125083,0,88
125084,0,78
125085,0,77
125086,0,85
125087,1,85
125088,0,74
125089,0,70
125090,0,69
125091,0,73
125092,0,72
125093,0,70
125094,0,73
125095,0,74
125096,0,79
125097,0,80
125098,1,72
125099,1,71
125100,1,69
125101,1,69
125102,1,66
125103,0,69
125104,1,73
125105,1,69
125106,1,67
125107,1,65
125108,0,68
126001,0,105
126002,0,110
126003,0,108
126004,1,104
126005,0,101
126006,1,101
126007,1,102
126008,1,103
126009,1,101
126010,0,104
126011,1,105
126012,0,107
126013,0,104
126014,1,101
126015,1,101
126016,1,104
126017,1,102
126018,1,103
126019,0,103
126020,0,103
126021,0,99
126022,1,104
126023,0,104
126024,0,116
126025,0,117
126026,0,112
126027,0,110
126028,0,123
126029,0,128
126030,0,124
126031,0,117
126032,0,118
126033,0,116
126034,0,110
126035,0,109
126036,0,112
126037,0,106
126038,0,109
126039,0,108
126040,0,110
126041,0,108
126042,0,105
126043,1,104
126044,0,104
126045,1,103
126046,0,106
126047,1,104
126048,0,104
126049,1,101
126050,1,101
126051,0,102
126052,1,102
126053,1,100
126054,0,94
126055,0,102
126056,0,102
126057,0,102
126058,0,96
126059,0,98
126060,0,101
126061,0,101
126062,0,102
126063,0,100
126064,0,104
126065,0,109
126066,0,117
126067,0,113
126068,0,115
126069,0,112
126070,0,123
126071,0,120
126072,1,117
126073,0,113
126074,0,111
126075,0,112
126076,0,108
126077,0,108
126078,0,104
126079,0,104
126080,0,107
126081,0,109
126082,0,113
126083,0,107
126084,0,108
126085,0,111
126086,0,105
126087,0,100
126088,0,103
126089,0,105
126090,1,103
126091,1,103
126092,0,103
126093,1,103
126094,0,104
126095,1,107
126096,0,103
127001,0,86
127002,0,87
127003,0,95
127004,0,80
127005,0,89
127006,0,92
127007,0,91
127008,0,85
127009,0,86
127010,0,88
127011,0,87
127012,0,92
127013,0,86
127014,0,87
127015,0,88
127016,0,90
127017,0,92
127018,0,92
127019,0,91
127020,0,91
127021,0,93
127022,0,97
127023,0,92
127024,0,108
127025,0,110
127026,0,102
127027,0,88
127028,0,101
127029,0,99
127030,0,96
127031,0,92
127032,0,113
127033,0,116
127034,0,108
127035,0,94
127036,0,85
127037,0,82
127038,0,84
127039,0,86
127040,0,94
127041,0,100
127042,0,98
127043,0,102
127044,0,93
127045,0,98
127046,0,91
127047,0,88
127048,0,94
127049,1,87
127050,0,92
127051,0,89
127052,0,91
127053,0,92
127054,0,90
127055,0,92
127056,1,88
127057,1,83
127058,1,84
127059,1,80
127060,1,85
127061,1,89
127062,1,86
127063,1,87
127064,1,87
127065,1,84
127066,1,88
127067,1,91
127068,0,89
127069,0,88
127070,1,86
127071,0,89
127072,0,89
127073,1,91
127074,0,93
127075,0,91
127076,0,84
127077,0,96
127078,0,112
127079,0,107
127080,1,90
127081,0,96
127082,0,101
127083,0,102
127084,0,99
127085,0,99
127086,0,110
127087,0,104
127088,0,94
127089,0,95
127090,0,93
127091,0,91
127092,0,93
127093,0,91
127094,0,96
127095,0,98
127096,0,100
127097,0,97
127098,0,87
127099,0,90
127100,0,91
127101,0,88
127102,0,94
127103,0,92
127104,0,90
127105,0,90
127106,0,90
127107,0,93
127108,0,92
128001,0,77
128002,0,82
128003,0,79
128004,0,72
128005,0,72
128006,0,73
128007,0,72
128008,0,73
128009,0,75
128010,0,68
128011,0,70
128012,0,74
128013,0,76
128014,0,75
128015,0,74
128016,0,70
128017,0,74
128018,0,71
128019,0,75
128020,0,70
128021,0,71
128022,0,78
128023,0,99
128024,0,104
128025,0,93
128026,0,73
128027,0,84
128028,0,93
128029,0,79
128030,0,68
128031,0,91
128032,0,104
128033,0,74
128034,0,69
128035,0,75
128036,0,65
128037,0,65
128038,0,68
128039,0,73
128040,0,71
128041,0,78
128042,0,79
128043,0,72
128044,0,68
128045,0,66
128046,0,65
128047,0,68
128048,0,66
128049,0,68
128050,1,67
128051,1,69
128052,0,68
128053,0,69
128054,0,70
128055,0,68
128056,0,66
128057,0,65
128058,0,66
128059,0,66
128060,0,65
128061,0,64
128062,0,70
128063,0,68
128064,0,64
128065,0,67
128066,0,70
128067,0,72
128068,0,66
128069,0,67
128070,0,69
128071,0,70
128072,0,69
128073,0,69
128074,0,66
128075,0,71
128076,0,76
128077,0,94
128078,0,102
128079,0,88
128080,0,77
128081,0,87
128082,0,90
128083,0,77
128084,0,67
128085,0,98
128086,0,104
128087,0,81
128088,0,66
128089,0,67
128090,0,65
128091,0,68
128092,0,74
128093,0,75
128094,0,75
128095,0,78
128096,0,80
128097,0,68
128098,0,68
128099,0,72
128100,0,76
128101,0,71
128102,0,72
128103,0,71
128104,0,71
128105,0,70
128106,0,72
128107,0,71
128108,0,72
129001,0,78
129002,0,81
129003,0,77
129004,0,76
129005,0,77
129006,0,81
129007,0,80
129008,0,79
129009,0,80
129010,0,81
129011,0,78
129012,0,80
129013,0,80
129014,0,80
129015,0,79
129016,0,78
129017,0,78
129018,0,78
129019,0,81
129020,0,82
129021,0,84
129022,0,81
129023,0,87
129024,0,95
129025,0,91
129026,0,79
129027,0,82
129028,0,81
129029,0,80
129030,0,81
129031,0,90
129032,0,91
129033,0,80
129034,0,75
129035,0,76
129036,0,77
129037,0,77
129038,0,76
129039,0,78
129040,0,83
129041,0,81
129042,0,82
129043,0,80
129044,0,75
129045,0,71
129046,0,73
129047,0,79
129048,1,80
129049,1,78
129050,0,78
129051,0,80
129052,0,80
129053,0,80
129054,0,75
129055,0,77
129056,0,75
129057,1,77
129058,0,76
129059,0,79
129060,0,75
129061,0,72
129062,0,75
129063,0,74
129064,0,71
129065,0,75
129066,0,76
129067,0,79
129068,0,73
129069,0,75
129070,0,74
129071,0,75
129072,0,76
129073,0,77
129074,0,77
129075,0,80
129076,0,78
129077,0,86
129078,0,97
129079,0,86
129080,0,78
129081,0,83
129082,0,81
129083,0,79
129084,0,76
129085,0,85
129086,0,85
129087,0,80
129088,0,81
129089,0,81
129090,0,73
129091,0,77
129092,0,76
129093,0,83
129094,0,81
129095,0,77
129096,0,80
129097,0,76
129098,0,81
129099,0,75
129100,0,73
129101,0,76
129102,0,80
129103,0,80
129104,0,76
129105,0,73
129106,0,75
129107,0,74
129108,0,74
130001,0,78
130002,0,78
130003,0,75
130004,0,74
130005,0,76
130006,0,76
130007,0,79
130008,0,84
130009,0,79
130010,0,81
130011,0,78
130012,0,83
130013,0,86
130014,0,84
130015,0,82
130016,0,82
130017,0,79
130018,0,81
130019,0,77
130020,0,81
130021,0,82
130022,0,81
130023,0,94
130024,0,104
130025,0,93
130026,0,83
130027,0,92
130028,0,111
130029,0,97
130030,0,84
130031,0,98
130032,0,109
130033,0,95
130034,0,89
130035,0,80
130036,0,80
130037,0,81
130038,0,82
130039,0,82
130040,0,84
130041,0,83
130042,0,88
130043,0,87
130044,0,85
130045,0,84
130046,0,82
130047,1,82
130048,1,81
130049,1,80
130050,1,81
130051,0,82
130052,0,85
130053,0,85
130054,0,83
130055,0,75
130056,0,69
130057,1,68
130058,0,74
130059,0,74
130060,0,78
130061,0,75
130062,0,73
130063,0,73
130064,0,75
130065,0,77
130066,1,81
130067,0,77
130068,1,77
130069,0,79
130070,0,76
130071,0,76
130072,0,76
130073,0,77
130074,0,76
130075,0,80
130076,0,80
130077,0,91
130078,0,99
130079,0,85
130080,0,80
130081,0,83
130082,0,102
130083,0,96
130084,0,83
130085,0,89
130086,0,92
130087,0,85
130088,0,86
130089,0,72
130090,0,75
130091,0,76
130092,0,74
130093,0,76
130094,0,82
130095,0,83
130096,0,85
130097,0,85
130098,1,73
130099,0,81
130100,1,81
130101,0,81
130102,0,80
130103,0,81
130104,0,81
130105,0,77
130106,0,71
130107,0,73
130108,0,76
131001,0,90
131002,0,86
131003,0,86
131004,0,87
131005,0,86
131006,0,87
131007,0,86
131008,0,94
131009,0,81
131010,0,83
131011,0,86
131012,0,87
131013,0,90
131014,1,90
131015,0,92
131016,1,81
131017,0,84
131018,0,86
131019,0,82
131020,0,93
131021,0,86
131022,1,87
131023,0,101
131024,0,103
131025,1,101
131026,1,96
131027,0,101
131028,0,101
131029,0,103
131030,0,85
131031,0,107
131032,0,114
131033,1,100
131034,0,93
131035,0,87
131036,0,89
131037,0,89
131038,0,93
131039,0,90
131040,1,90
131041,0,99
131042,0,101
131043,0,96
131044,0,90
131045,0,82
131046,0,82
131047,0,92
131048,0,91
131049,0,89
131050,0,76
131051,0,85
131052,0,90
131053,0,89
131054,0,88
131055,1,86
131056,1,87
131057,0,84
131058,1,85
131059,1,89
131060,0,85
131061,1,83
131062,1,79
131063,1,78
131064,1,79
131065,1,83
131066,1,79
131067,1,82
131068,1,82
131069,0,78
131070,1,79
131071,0,81
131072,0,80
131073,0,79
131074,0,78
131075,0,84
131076,1,88
131077,0,107
131078,0,103
131079,0,99
131080,0,96
131081,0,99
131082,0,100
131083,0,104
131084,0,84
131085,0,88
131086,0,100
131087,0,93
131088,1,88
131089,0,83
131090,0,81
131091,0,77
131092,0,79
131093,0,90
131094,0,95
131095,0,92
